1	19	1
12	19	1
0	20	1
19	23	1
19	24	1
24	30	1
19	34	1
27	34	1
19	36	1
20	38	1
21	38	1
22	38	1
3	39	1
4	39	1
5	39	1
6	39	1
7	39	1
8	39	1
9	39	1
10	39	1
11	39	1
13	39	1
14	39	1
15	39	1
16	39	1
17	39	1
18	39	1
19	39	1
25	39	1
26	39	1
27	39	1
28	39	1
29	39	1
30	39	1
31	39	1
32	39	1
33	39	1
35	39	1
27	40	1
5	42	1
19	43	1
27	44	1
28	44	1
20	46	1
27	46	1
26	47	1
3	49	1
5	49	1
20	57	1
26	59	1
5	60	1
5	61	1
5	65	1
3	66	1
3	67	1
16	67	1
20	68	1
3	69	1
5	70	1
28	70	1
0	73	1
49	74	1
38	75	1
41	75	1
45	75	1
3	76	1
19	76	1
20	76	1
26	76	1
27	76	1
28	76	1
38	76	1
45	76	1
49	76	1
38	77	1
45	77	1
27	78	1
40	78	1
44	78	1
45	78	1
3	79	1
5	79	1
20	79	1
21	79	1
3	80	1
5	80	1
19	80	1
20	80	1
26	80	1
27	80	1
40	80	1
41	80	1
3	81	1
19	81	1
20	81	1
26	81	1
27	81	1
41	81	1
42	81	1
43	81	1
44	81	1
45	81	1
47	81	1
49	81	1
5	82	1
20	82	1
42	82	1
51	82	1
3	83	1
5	83	1
19	83	1
3	84	1
42	84	1
45	84	1
71	84	1
19	85	1
26	85	1
41	85	1
3	86	1
19	86	1
27	86	1
46	86	1
49	86	1
51	86	1
71	86	1
1	88	1
19	88	1
20	88	1
71	88	1
1	89	1
3	89	1
5	89	1
19	89	1
21	89	1
26	89	1
31	89	1
46	89	1
48	89	1
49	89	1
50	89	1
70	89	1
71	89	1
19	90	1
89	90	1
3	91	1
5	91	1
19	91	1
20	91	1
27	91	1
46	91	1
49	91	1
51	91	1
70	91	1
0	92	1
1	92	1
3	92	1
5	92	1
20	92	1
23	92	1
46	92	1
50	92	1
51	92	1
70	92	1
0	93	1
3	93	1
5	93	1
44	93	1
46	93	1
51	93	1
57	93	1
0	94	1
20	94	1
28	94	1
46	94	1
47	94	1
57	94	1
80	94	1
90	94	1
0	95	1
27	95	1
28	95	1
57	95	1
27	96	1
19	99	1
20	99	1
26	99	1
19	100	1
21	100	1
27	100	1
19	101	1
92	101	1
52	102	1
53	102	1
92	102	1
93	102	1
94	102	1
95	102	1
96	102	1
97	102	1
98	102	1
52	103	1
53	103	1
60	103	1
92	103	1
93	103	1
94	103	1
95	103	1
96	103	1
97	103	1
98	103	1
3	104	1
5	104	1
7	104	1
54	104	1
72	104	1
73	104	1
74	104	1
79	104	1
98	104	1
60	105	1
79	105	1
3	106	1
5	106	1
52	106	1
53	106	1
60	106	1
73	106	1
74	106	1
5	107	1
52	107	1
54	107	1
58	107	1
79	107	1
5	108	1
7	108	1
10	108	1
21	108	1
27	108	1
52	108	1
60	108	1
73	108	1
74	108	1
96	108	1
97	108	1
98	108	1
0	109	1
3	109	1
5	109	1
7	109	1
19	109	1
27	109	1
29	109	1
31	109	1
38	109	1
54	109	1
60	109	1
61	109	1
62	109	1
72	109	1
73	109	1
74	109	1
79	109	1
94	109	1
0	110	1
3	110	1
5	110	1
7	110	1
10	110	1
13	110	1
19	110	1
27	110	1
30	110	1
60	110	1
61	110	1
72	110	1
73	110	1
74	110	1
79	110	1
96	110	1
0	111	1
3	111	1
5	111	1
7	111	1
10	111	1
17	111	1
19	111	1
27	111	1
30	111	1
31	111	1
52	111	1
53	111	1
60	111	1
79	111	1
19	112	1
92	112	1
3	113	1
5	113	1
7	113	1
10	113	1
14	113	1
16	113	1
27	113	1
30	113	1
31	113	1
33	113	1
60	113	1
73	113	1
74	113	1
79	113	1
106	113	1
111	113	1
0	114	1
3	114	1
5	114	1
7	114	1
54	114	1
55	114	1
56	114	1
58	114	1
60	114	1
72	114	1
74	114	1
79	114	1
113	114	1
5	115	1
3	116	1
5	116	1
19	116	1
60	116	1
79	116	1
3	117	1
5	117	1
10	117	1
11	117	1
13	117	1
14	117	1
16	117	1
19	117	1
27	117	1
28	117	1
30	117	1
0	118	1
2	118	1
3	118	1
4	118	1
5	118	1
6	118	1
7	118	1
8	118	1
9	118	1
10	118	1
13	118	1
14	118	1
15	118	1
16	118	1
17	118	1
18	118	1
20	118	1
22	118	1
24	118	1
25	118	1
26	118	1
27	118	1
28	118	1
31	118	1
32	118	1
35	118	1
38	118	1
52	118	1
53	118	1
54	118	1
56	118	1
58	118	1
59	118	1
60	118	1
61	118	1
62	118	1
63	118	1
64	118	1
65	118	1
66	118	1
67	118	1
71	118	1
72	118	1
79	118	1
92	118	1
93	118	1
94	118	1
95	118	1
96	118	1
102	118	1
103	118	1
104	118	1
108	118	1
109	118	1
113	118	1
114	118	1
117	118	1
3	119	1
5	119	1
10	119	1
14	119	1
27	119	1
30	119	1
3	120	1
5	120	1
7	120	1
19	120	1
72	120	1
73	120	1
74	120	1
94	120	1
3	121	1
10	121	1
16	121	1
19	121	1
21	121	1
27	121	1
29	121	1
30	121	1
78	121	1
80	121	1
89	121	1
104	121	1
106	121	1
108	121	1
109	121	1
110	121	1
111	121	1
113	121	1
114	121	1
115	121	1
116	121	1
117	121	1
118	121	1
119	121	1
120	121	1
3	122	1
12	122	1
19	122	1
26	122	1
27	122	1
28	122	1
29	122	1
36	122	1
38	122	1
40	122	1
74	122	1
76	122	1
78	122	1
88	122	1
89	122	1
90	122	1
92	122	1
93	122	1
94	122	1
95	122	1
97	122	1
99	122	1
100	122	1
106	122	1
107	122	1
108	122	1
109	122	1
111	122	1
113	122	1
114	122	1
118	122	1
119	122	1
120	122	1
5	123	1
6	123	1
19	123	1
73	123	1
89	123	1
92	123	1
94	123	1
3	124	1
7	124	1
19	124	1
29	124	1
37	124	1
38	124	1
76	124	1
80	124	1
81	124	1
82	124	1
83	124	1
84	124	1
85	124	1
86	124	1
87	124	1
88	124	1
89	124	1
92	124	1
93	124	1
104	124	1
106	124	1
108	124	1
109	124	1
110	124	1
111	124	1
113	124	1
117	124	1
118	124	1
119	124	1
120	124	1
121	124	1
122	124	1
3	125	1
29	125	1
37	125	1
38	125	1
39	125	1
118	125	1
10	126	1
39	126	1
118	126	1
10	127	1
119	127	1
39	128	1
76	128	1
88	128	1
106	128	1
109	128	1
110	128	1
116	128	1
121	128	1
39	129	1
52	129	1
53	129	1
54	129	1
56	129	1
58	129	1
102	129	1
103	129	1
105	129	1
106	129	1
108	129	1
109	129	1
110	129	1
114	129	1
120	129	1
39	130	1
105	130	1
108	130	1
109	130	1
110	130	1
111	130	1
113	130	1
117	130	1
118	130	1
119	130	1
120	130	1
121	130	1
39	131	1
51	131	1
60	131	1
105	131	1
106	131	1
108	131	1
109	131	1
113	131	1
114	131	1
116	131	1
117	131	1
118	131	1
119	131	1
120	131	1
121	131	1
122	131	1
38	132	1
39	132	1
82	132	1
92	132	1
93	132	1
104	132	1
106	132	1
108	132	1
109	132	1
111	132	1
114	132	1
115	132	1
117	132	1
118	132	1
120	132	1
121	132	1
124	132	1
130	132	1
39	133	1
79	133	1
111	133	1
113	133	1
